batch_id,provider_row_id,attempt_label,census_street,census_city,census_state,census_zip,cms_provider_number,provider_name,fiscal_year,closeout_action,candidate_method,suggested_fips,suggested_county_name
212002__2024__079,212002__2024,provider_original,1500 PENNSYLVANIA AVENUE,HAGERSTOWN,MD,21740,212002,WESTERN MARYLAND HOSPITAL CENTER,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,24043,"Washington County, Maryland"
363042__2024__080,363042__2024,provider_original,597 EXECUTIVE CAMPUS DRIVE,WESTERVILLE,OH,43082,363042,MOUNT CARMEL REHABILITATION HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,39049,"Franklin County, Ohio"
173028__2023__081,173028__2023,provider_original,1151 N. ROCK ROAD,WICHITA,KS,67206,173028,VIA CHRISTI REHAB CENTER  INC,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,20173,"Sedgwick County, Kansas"
670112__2024__082,670112__2024,provider_original,5330 NORTH LOOP 1604 WEST,SAN ANTONIO,TX,78249,670112,CUMBERLAND SURGICAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48029,"Bexar County, Texas"
190044__2023__083,190044__2023,provider_original,190044,CROWLEY,LA,70526,190044,ACADIA GENERAL HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22001,"Acadia Parish, Louisiana"
103052__2023__084,103052__2023,provider_original,11595 BURNT MILL ROAD,JACKSONVILLE,FL,32256,103052,ENCOMPASS HEALTH REHABILITATION HOSP,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,12031,"Duval County, Florida"
113034__2023__085,113034__2023,provider_original,1165 SANDERS ROAD,CUMMING,GA,30041,113034,ENCOMPASS HEALTH REHABILITATION HOSP,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,13117,"Forsyth County, Georgia"
264034__2024__086,264034__2024,provider_original,639 SOUTH SILVER SPRING ROAD,CAPE GIRARDEAU,MO,63703,264034,SOUTHEAST BEHAVIORAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,29031,"Cape Girardeau County, Missouri"
393036__2024__087,393036__2024,provider_original,150 MUNDY ST,WILKES-BARRE,PA,18436,393036,JOHN HEINZ INSTIT. OF REHAB MEDICINE,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,42079,"Luzerne County, Pennsylvania"
254012__2023__088,254012__2023,provider_original,180 DEBUYS ROAD,BILOXI,MS,39531,254012,OCEANS BEHAVIORAL HOSPITAL BILOXI,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,28047,"Harrison County, Mississippi"
234042__2023__089,234042__2023,provider_original,4050 EAST 12 MILE RD,WARREN,MI,48092,234042,BEHAVIORAL CENTER OF MICHIGAN,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,26099,"Macomb County, Michigan"
170208__2023__090,170208__2023,provider_original,7820 W 165TH ST,OVERLAND PARK,KS,66223,170208,ADVENTHEALTH SOUTH OVERLAND PARK,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,20091,"Johnson County, Kansas"
033039__2023__091,033039__2023,provider_original,13060 WEST BELL ROAD,SURPRISE,AZ,85378,033039,COBALT REHAB HOSPITAL SURPRISE,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,04013,"Maricopa County, Arizona"
190116__2024__092,190116__2024,provider_original,323 W. WALNUT STREET,BASTROP,LA,71121,190116,MOREHOUSE GENERAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22067,"Morehouse Parish, Louisiana"
063037__2023__093,063037__2023,provider_original,6500 WEST 104TH AVE,WESTMINSTER,CO,80020,063037,PAM SPEC. HOSPITAL OF WESTMINSTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,08001,"Adams County, Colorado"
364050__2023__094,364050__2023,provider_original,2611 WAYNE AVE,DAYTON,OH,45420,364050,ACCESS HOSPITAL DAYTON,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,39113,"Montgomery County, Ohio"
524043__2024__095,524043__2024,provider_original,1706 S. 68TH STREET,MILWAUKEE,WI,53214,524043,GRANITE HILLS HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,55079,"Milwaukee County, Wisconsin"
670265__2024__096,670265__2024,provider_original,1401 EAST TRINITY MILLS ROAD,CARROLLTON,TX,75007,670265,LEGENT ORTHOPEDIC HOSPITAL CARROLLTO,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48121,"Denton County, Texas"
230071__2023__097,230071__2023,provider_original,23901 LAHSER ROAD,SOUTHFIELD,MI,48033,230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,26125,"Oakland County, Michigan"
670136__2023__098,670136__2023,provider_original,5245 W US 290,AUSTIN,TX,78735,670136,BSW MEDICAL CENTER - AUSTIN,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48453,"Travis County, Texas"
154060__2023__099,154060__2023,provider_original,1909 CAREW STREET,FORT WAYNE,IN,46805,154060,PARK CENTER  INC.,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,18003,"Allen County, Indiana"
054146__2024__100,054146__2024,provider_original,2633 EAST 27TH STREET,OAKLAND,CA,94601,054146,TELECARE HERITAGE PHF,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06001,"Alameda County, California"
034037__2024__101,034037__2024,provider_original,831 LANDON DRIVE,BULLHEAD CITY,AZ,86429,034037,TALAS HARBOR AT BULLHEAD CITY,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,04015,"Mohave County, Arizona"
370225__2023__102,370225__2023,provider_original,1800 S. RENAISSANCE BLVD,EDMOND,OK,73013,370225,SUMMIT MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,40109,"Oklahoma County, Oklahoma"
194089__2023__103,194089__2023,provider_original,847 STEWART STREET,LAFAYETTE,LA,70501,194089,GENESIS BEHAVIORAL HOSPITAL INC,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22055,"Lafayette Parish, Louisiana"
194089__2023__104,194089__2023,suite_stripped,847,LAFAYETTE,LA,70501,194089,GENESIS BEHAVIORAL HOSPITAL INC,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22055,"Lafayette Parish, Louisiana"
